Key,Category,QuestionNumber,matchOrnomatch,Difficulty,verdict,ResponseTime,routineStart,routineStamp,routineEnd,Cat2FeedbackTime,ParticipantID
1spl1,1,spl1,match,Easy,CORRECT,10.369815700003528,1680003249.7893205,"28/03/2023, 17:04:09",1680003260.159136,0.0,1
1spl2,1,spl2,nomatch,Easy,CORRECT,7.913991500012344,1680003260.2791028,"28/03/2023, 17:04:20",1680003268.1930945,0.0,1
1Item1,1,Item1,match,Easy,CORRECT,7.654472000009264,1680003268.2248054,"28/03/2023, 17:04:28",1680003275.8792777,0.0,1
1Item2,1,Item2,match,Easy,CORRECT,14.597205400001258,1680003275.9004655,"28/03/2023, 17:04:35",1680003290.497671,0.0,1
1Item3,1,Item3,match,Easy,CORRECT,16.47656550000829,1680003290.5223696,"28/03/2023, 17:04:50",1680003306.9989352,0.0,1
1Item4,1,Item4,match,Medium,CORRECT,17.546051800003625,1680003307.02309,"28/03/2023, 17:05:07",1680003324.5691416,0.0,1
1Item5,1,Item5,nomatch,Medium,CORRECT,26.0444800999976,1680003324.5863173,"28/03/2023, 17:05:24",1680003350.6307974,0.0,1
1Item6,1,Item6,match,Medium,CORRECT,8.765434700006153,1680003350.6459908,"28/03/2023, 17:05:50",1680003359.4114256,0.0,1
1Item7,1,Item7,match,Difficult,CORRECT,8.89840630000981,1680003359.4332583,"28/03/2023, 17:05:59",1680003368.3316646,0.0,1
1Item8,1,Item8,nomatch,Difficult,INCORRECT,16.455399600003147,1680003368.345868,"28/03/2023, 17:06:08",1680003384.8012676,0.0,1
1Item9,1,Item9,match,Difficult,INCORRECT,9.659429499995897,1680003384.8213978,"28/03/2023, 17:06:24",1680003394.480827,0.0,1
1Item10,1,Item10,nomatch,Difficult,CORRECT,21.04241419999744,1680003394.496188,"28/03/2023, 17:06:34",1680003415.538602,0.0,1
2spl1,2,spl1,match,Easy,CORRECT,6.252160399992135,1680003478.6471725,"28/03/2023, 17:07:58",1680003484.8993328,0.0,1
2spl2,2,spl2,nomatch,Easy,CORRECT,7.533956400002353,1680003486.6734822,"28/03/2023, 17:08:06",1680003494.2074385,0.0,1
2Item1,2,Item1,match,Easy,CORRECT,4.509170100005576,1680003495.4188228,"28/03/2023, 17:08:15",1680003499.9279928,1.0262118999962695,1
2Item2,2,Item2,match,Easy,CORRECT,3.0500425999925938,1680003500.9962742,"28/03/2023, 17:08:20",1680003504.0463169,0.9966734000045108,1
2Item3,2,Item3,match,Easy,CORRECT,5.445206499993219,1680003505.08189,"28/03/2023, 17:08:25",1680003510.5270965,1.1498813000071095,1
2Item4,2,Item4,nomatch,Medium,CORRECT,11.453220900002634,1680003511.7029796,"28/03/2023, 17:08:31",1680003523.1562004,0.8102900999947451,1
